employee_id,department,date,hours_worked,units_completed,productivity
EMP00036,Testing,2025-08-18 22:51:23.689179,8.522898133476087,258,79.95926973310083
EMP00046,Packaging,2025-08-19 22:51:23.689179,8.915925269941159,457,77.84895557620685
EMP00015,Testing,2025-08-20 22:51:23.689179,9.147522049077612,239,87.34965721860732
EMP00033,Testing,2025-08-21 22:51:23.689179,8.422186523415487,85,99.16213692142236
EMP00019,Testing,2025-08-22 22:51:23.689179,6.3242320257919244,493,80.46259581819471
EMP00024,Maintenance,2025-08-23 22:51:23.689179,8.197756957834432,55,74.80649199834082
EMP00044,Maintenance,2025-08-24 22:51:23.689179,7.68240072471613,141,99.67505239934219
EMP00031,QC,2025-08-25 22:51:23.689179,6.44380075996564,435,91.16620894424776
EMP00006,QC,2025-08-26 22:51:23.689179,7.388861801952408,237,102.49869518868431
EMP00017,Testing,2025-08-27 22:51:23.689179,9.876090800412522,469,78.75775164357646
EMP00028,Maintenance,2025-08-28 22:51:23.689179,7.203355789609145,385,95.6047513436117
EMP00044,Maintenance,2025-08-29 22:51:23.689179,7.872032620566316,123,77.57928459569891
EMP00033,QC,2025-08-30 22:51:23.689179,7.290253595521229,76,79.35192660332049
EMP00043,Assembly,2025-08-31 22:51:23.689179,9.852884159924697,328,73.15481925636884
EMP00033,Maintenance,2025-09-01 22:51:23.689179,8.065442602806018,272,104.0266760769406
EMP00022,Assembly,2025-09-02 22:51:23.689179,6.989271707562528,100,98.18554655687251
EMP00026,Testing,2025-09-03 22:51:23.689179,8.345041881885765,280,78.84439102768629
EMP00004,Testing,2025-09-04 22:51:23.689179,7.989751869069005,220,79.58935567809064
EMP00029,Packaging,2025-09-05 22:51:23.689179,7.257750167950222,447,83.19822554467838
EMP00044,Maintenance,2025-09-06 22:51:23.689179,8.429789872581985,127,80.2135865564199
EMP00036,Testing,2025-09-07 22:51:23.689179,6.359412217644458,260,84.44302585353998
EMP00006,Maintenance,2025-09-08 22:51:23.689179,6.973040957432186,123,75.0377677255743
EMP00021,QC,2025-09-09 22:51:23.689179,8.740462735114917,418,81.81935364546328
EMP00041,Assembly,2025-09-10 22:51:23.689179,6.827215081310749,355,78.23738907091995
EMP00033,Packaging,2025-09-11 22:51:23.689179,9.639572685187272,130,100.21932143390876
EMP00020,Testing,2025-09-12 22:51:23.689179,7.942687693205821,192,74.86341236404486
EMP00006,Maintenance,2025-09-13 22:51:23.689179,6.0667907942467405,431,92.6738505641307
EMP00012,Assembly,2025-09-14 22:51:23.689179,7.7373272090631495,303,77.2650460145302
EMP00009,Maintenance,2025-09-15 22:51:23.689179,6.496482885124969,363,102.27183352020975
EMP00041,Maintenance,2025-09-16 22:51:23.689179,9.271419967804771,133,77.15482556234718
