date,department,expense,profit,revenue
2025-08-18 22:51:23.693186,Sales,276619.67616115615,506713.39467065677,814129.087457422
2025-08-19 22:51:23.693186,Administration,470287.4903438256,269709.3490673325,815296.8824433971
2025-08-20 22:51:23.693186,Sales,188634.94394490533,535723.8007455315,1276386.8033809771
2025-08-21 22:51:23.693186,Sales,452157.13819021854,484297.969280083,1380932.0455919048
2025-08-22 22:51:23.693186,Administration,202723.42856378522,725935.8367801638,1422582.7760754528
2025-08-23 22:51:23.693186,Operations,472397.8682125166,504129.8817423127,1570369.7036238876
2025-08-24 22:51:23.693186,Logistics,62818.286834999344,833204.2390712281,1624084.3048476502
2025-08-25 22:51:23.693186,R&D,209262.89691813765,172843.71584477855,1792546.5278124036
2025-08-26 22:51:23.693186,R&D,329766.3867262282,401696.7738011428,947908.8187374821
2025-08-27 22:51:23.693186,Sales,446047.8286557576,968661.0926778034,1632101.1416369723
2025-08-28 22:51:23.693186,Logistics,353723.001368824,282621.55088032887,1473323.234537758
2025-08-29 22:51:23.693186,Operations,390422.6537259087,560269.0700863204,1308944.6360269776
2025-08-30 22:51:23.693186,Operations,326545.5563302786,292644.3728514123,893489.9865094551
2025-08-31 22:51:23.693186,Administration,308737.51241803356,499536.9963827749,1839980.4391087652
2025-09-01 22:51:23.693186,Logistics,254693.51131082058,751266.8987884235,1635863.169352934
2025-09-02 22:51:23.693186,Administration,489416.4939703203,454636.6890061378,1527900.1607741422
2025-09-03 22:51:23.693186,Logistics,244428.20347809777,319107.4565485823,617112.7230005295
2025-09-04 22:51:23.693186,Administration,118535.99505037264,567031.927453788,1472269.875938994
2025-09-05 22:51:23.693186,Sales,307244.886567835,659556.6148129359,1331172.6487110942
2025-09-06 22:51:23.693186,Sales,480181.2574512301,382983.9009768132,1941305.7613447004
2025-09-07 22:51:23.693186,Operations,84989.94732950508,196336.09511504596,829437.3242020839
2025-09-08 22:51:23.693186,Logistics,152418.21001228143,310500.2937889421,1945801.7425883687
2025-09-09 22:51:23.693186,Sales,273219.13632469246,143035.01401784824,1182350.6041061752
2025-09-10 22:51:23.693186,R&D,262042.64255108932,758216.5144830865,1009371.4460188702
2025-09-11 22:51:23.693186,R&D,52885.63512568501,926815.3327764947,1185797.331994377
2025-09-12 22:51:23.693186,Administration,214960.06017444428,942391.914762237,1169352.5348830498
2025-09-13 22:51:23.693186,Administration,279140.9623503363,918473.0994063378,322866.6838047702
2025-09-14 22:51:23.693186,Administration,69192.22198043001,269076.7045097364,1793364.2806136352
2025-09-15 22:51:23.693186,Logistics,394420.9482795467,653736.0536030395,841832.8162659715
2025-09-16 22:51:23.693186,Administration,482294.7988736616,671717.0422531037,476040.0424952068
2025-09-17 22:51:23.693186,Administration,349871.1031997664,904227.0836900211,1647431.9753594403
2025-09-18 22:51:23.693186,Sales,162432.89650402762,194849.10117505433,1139504.4027760092
2025-09-19 22:51:23.693186,Sales,486973.1387919189,711281.3345712103,1427038.4771121165
2025-09-20 22:51:23.693186,Logistics,416337.4909327035,874472.6891157614,967627.7013682689
2025-09-21 22:51:23.693186,R&D,471632.654848844,617019.2943162923,1077978.477082816
2025-09-22 22:51:23.693186,Sales,472004.52418061654,414283.1095368438,1651338.21536515
2025-09-23 22:51:23.693186,Operations,396239.5615327086,247651.39556124542,1152917.820053698
2025-09-24 22:51:23.693186,Administration,275871.65214933874,786370.9240754966,340837.60632165906
